广州

不锈钢 0  供应压力显著，价格存在回调压力
镍 0  昨日LME镍库存报74664吨，较前日库存-870吨。LME镍三月15时收盘价17760美元，当日-3.35%。沪镍主力下午收盘价134540元，当日-3.38%。昨日国内精炼镍现货价报135300-138400元/吨，均价较前日-3000元。俄镍现货均价对近月合约升贴水为-300元，较前日+50；金川镍现货升水报2000-2100元/吨，均价较前日+100元。镍基本面暂无明显边际变化。宏观情绪走弱，有色金属回调。近期菲律宾和印尼红土镍矿供应恢复，成本支撑渐弱。下游需求表现一般，现货升水较弱。短期关注国内外精炼镍库存变化及消费端边际变化，中长期镍供大于求格局未变。下游采购意愿较低，镍铁价格弱势。周一不锈钢现货报价大幅上调后暂稳，市场成交转弱。不锈钢期货主力合约日盘收13750元，日内涨跌-1.11%。关注国内不锈钢需求转变及库存变化。预计沪镍近期震荡，主力合约运行区间参考130000-142000元/吨。
铝 0  2024年04月17日，沪铝主力合约报收20150元/吨（截止昨日下午三点），下跌2.56%。SMM现货A00铝报均价20220元/吨。A00铝锭升贴水平均价-90。铝期货仓单135414吨，较前一日增加3707吨。LME铝库存517350吨，减少4250吨。2024-4-15：铝锭库存持平90.3万吨，铝棒去库0.3万吨至26.05万吨。华东贴100-贴60，华南贴120-贴100，中原贴150-贴110。华东市场盘面回落，交投情绪恢复，成交有所回暖;华南市场低价货源减少，按需接货为主，整体成交一般;中原市场盘面回落交投情绪恢复，成交有所回暖。有色普跌，铝价后续预计将进入震荡盘整区间，国内参考运行区间：20000-21000元/吨；LME-3M参考运行区间：2400-2700美元/吨。
锡 1  2024年04月17日，沪锡主力合约报收253620元/吨，跌幅2.05%（截止昨日下午三点）。国内，上期所期货注册仓单上升187吨，现为13986吨。LME库存增加20吨，现为4135吨。长江有色锡1#的平均价为257120元/吨。上游云南40%锡精矿报收234750元/吨。早盘沪锡价格冲高回落，终端企业下单量较少，下游企业依旧刚需采买，大部分贸易企业反应上午基本为零散成交。总体来说今日上午现货市场成交受锡价抑制较为冷清。国内锡锭库存持续走高，海外锡锭库存持续去化，内外库存走势分化，在进口窗口未开放的情况下，海外LME市场现货升贴水持续走高，带动期货价格持续上涨。后续锡价震荡偏强行情预计延续，国内参考运行区间：230000-280000元/吨。LME-3M参考运行区间：30000-35000美元/吨。
铅 -1  沪铅主力合约2406波动上行，收至16940元/吨。总持仓减少1458手至11.28万手。上期所期货库存增加2086至6.4万吨。沪铅连续-连三价差扩大至180元/吨。截至周二下午15：00，伦铅冲高回落，收至2185美元/吨。伦铅库存报27.47万吨，较前一日增加3175。进出口方面，截至周二下午15：00，铅锭沪伦比价收至7.81，进口亏损缩窄120至2230元/吨。现货方面，SMM1#铅锭均价录得16450元/吨，较前日维稳不变，再生精铅均价录得16250元/吨，较前日维稳不变，精废价差维稳至200元/吨。当日上海地区铅锭对均价升贴水报40元/吨，较前日维稳不变。现货市场，交割后流通货源尚少，原生货源对均价高升水报价，再生货源维持贴水。周二铅废价格上涨。废电动车电池均价9775元/吨，废白壳均价9650元/吨，废黑壳均价9125元/吨。总体来看：宏观情绪转弱，价格高位下炼厂利润修复，铅锭供应恢复，淡季需求亦无起色，情绪退潮后有较大下行风险。沪铅指数运行区间参考：16550-17150元/吨。
锌 -1  沪锌主力合约2406波动下行，收至22280元/吨。总持仓减少16228手至23.44万手。上期所期货库存增加2126至6.81万吨。沪锌连续-连三价差扩大至25元/吨。截至周二下午15：00，伦锌波动下行，收至2730美元/吨。伦锌库存减少225至25.83万吨。进出口方面，截至周二下午15：00，锌锭沪伦比价收至8.12，锌锭进口亏损扩大270至1380元/吨。现货方面，SMM0#锌锭均价跌480至22210元/吨。上海地区升贴水跌0至-110元/吨，天津地区升贴水跌0至-100元/吨，广东地区升贴水跌25至-105元/吨。上海市场，货量仍然较多，下游刚需补库为主，升水弱势运行。天津市场，贸易商小幅挺价，多数下游看空后市观望为主。广东市场，贸易商小幅挺价，下游刚需采买为主。总体来看：宏观情绪转弱，锌价与有色金属共振回调。虽然供应端维持紧俏，但锌价高位下炼厂利润大幅修复，加之需求亦维持疲软，伴随有色情绪退潮，下行风险较大。沪锌指数运行区间参考：21500-23050元/吨。
碳酸锂 0.3  现货市场，大牌盐厂货源多被长协锁定，库存有限，优质电碳热销，报价小幅回落。交易所仓单随盘面报价调整更具价格优势。宏观情绪走弱，有色板块整体回调。LC2407合约收盘价108150元，较前日收盘价-3.22%，主力合约收盘价贴水SMM平均报价3350元。SMM澳大利亚进口SC6锂精矿CIF报价1080-1200美元/吨，与前日持平。当前盘面向上突破存阻力，尚缺乏显著利多因素刺激，旺盛需求对底部有所支撑。关注宏观预期变化影响有色板块走势，警惕供、求不及预期带来的情绪影响。今日广期所碳酸锂主力合约参考运行区间100000-115000元/吨。黑色
锰硅 0  周二，锰硅主力（切换至SM409合约）震荡收星，日内收跌0.03%，收盘报6372元/吨。现货端，天津6517锰硅市场报价6140元/吨，环比上日+20元/吨，现货折盘面价6290元/吨。期货主力合约升水现货82元/吨，基差率-1.30%，处于低位水平。我们在前期报告中所等待4-5月份由铁水向上修复带来的“正反馈”正在发生，至少市场开始朝着这个方向进行预期交易，而近两周螺纹钢需求的向上修复也给了市场一定的信心，成材及铁矿、双焦的向上反弹印证这一点，且我们确实看到铁矿、双焦甚至成材的弹性远好于铁合金，这与我们的预期相符，铁合金只是作为板块向上修复背景下的跟随品种。往后期看，我们认为“正反馈”的逻辑仍在持续，且前期悲观预期之下所积攒的需求有可能在未来一段时间内出现回补，或导致需求出现阶段性的超预期向上。若该情况发生（需求回补造成的超预期数据出现），则不排除黑色系在淡季期间进一步向上走预期的可能，而板块的继续向上将带动铁合金进一步向上修复，当然这是后话，需要后期对可能性进行持续跟踪。锰硅自身基本面角度，我们看到供给持续大幅收缩，但需求端仍受建材显著影响，持续累积的库存仍是价格不小的压力，近期价格的相对硅铁强势，我们认为更多是对于锰矿端价格向上的反应，而随着锰硅供应的下修，锰矿端需求预计跟随减弱，或抑制价格进一步走强，这意味着锰硅将需要寻找新的价格推力，例如供给的再进一步收缩和下游以螺纹钢为主的建材产量的明显抬升，若这二者出现，价格有望进一步向上。对于后市行情，随着盘面摆脱2023年9月份以来的下跌趋势以及站上6250元/吨（对加权指数）的重压位置，向上空间有望打开至6400-6480元/吨区间，反弹预计仍将持续，但幅度或仍如我们所预期的，将相对较小，建议谨慎参与。
硅铁 0  周二，硅铁主力（切换至SF406合约）震荡收星，日内收跌0.24%，收盘报6522元/吨。现货端，天津72#硅铁市场报价6600元/吨，环比上日+50元/吨，期货主力合约贴水现货52元/吨，基差率0.79%，处于偏低水平。延续锰硅板块观点，但我们仍旧认为硅铁端自身的基本面略好于锰硅，一个在于其产量收缩的较为充分，当前周产推断产量累计同比降幅在8.8%，与铁水的降幅相当。供给的充分收缩也使得硅铁的库存规模显著优于锰硅。此外，今年钢材的需求端主要的收缩在于建材端，而供给的收缩也主要在建材方面。而建材端对于硅铁的影响将显著小于锰硅。对于后市行情，如我们所预期的，“正反馈”虽然会迟到，但不会缺席，当前正在逐步发生，铁合金环节反弹预计仍将持续，对于硅铁，短期上方空间或打开至6700-6800元/吨区间一带（对于加权指数），弹性在黑色系中相对较小，建议谨慎参与。
工业硅 1  周二，工业硅期货主力（SI2406合约）单边下行，日内收涨1.93%，收盘报11955元/吨。现货端，华东不通氧553#市场报价13050元/吨，环比上日持平，升水主力合约1095元/吨；421#市场报价13950元/吨（升水交割品，升水2000元/吨），环比上日-50元/吨，折合盘面价格11950元/吨，贴水期货主力合约5元/吨。站在基本面角度，高库存仍是当下肉眼可见的主要压力，往后期看，供给非但继续收缩的空间十分有限，而且即将面临丰水期西南地区供应回升的考验。同时，需求端也出现了阶段性见顶信号，包括1）多晶硅周产出现阶段性高点，且受制于库存高企且仍在不断走高的压力以及价格继续回落后利润的再度显著收缩，后续多晶硅产量预计仍存在缩量；2）有机硅周产环比持续走弱，虽然仍在高位，同时库存回升与利润亏损加深也是影响未来产量的负面因素。对此，我们认为价格短期难以出现有效抬头。此外，交易所本周发布对于替代交割品421#升贴水及品质的调整规则，从SI2412合约起开始执行：将原先2000元/吨的升水降至800元/吨，更加符合当下情况；同时，增加了421#替代交割品微量元素方面的要求，使得下游有机硅企业能够更好地参与到买交割中来。对于交割品规则的修改发生在今年11月份仓单集中注销之后，意味着当前盘面接近25万吨的仓单将增大新规则生效之前合约的压力，可能导致2411及其之前合约价格发生进一步下移，直至市场愿意承接该部分仓单对应的现货。但同时，也意味着2412合约开始，工业硅价格将极大程度降负，摆脱高仓单库存的压制且盘面锚点将重新对准553#，虽然短期仍然无明显上行的驱动。基于基本面以及交易所相关规则的调整，我们提示注意盘面进一步下移风险。
橡胶 0  胶价持续走弱。偏弱运行。市场的关注点仍然在轮储预期和云南天气。3月25日，市场预期的抛储轮储利好落地。3月21-22日，或因担天气忧情绪缓解，资金离场，胶价较快回落。胶价3月18日大涨。市场上涨或是担忧东南亚和云南干旱天气造成大量减产，市场也或有收储轮储的预期。多空讲述不同的故事。涨因天气看多，跌因需求证伪。天然橡胶RU多头认为东南亚天气持续高温和市场的收储预期是做多理由。多方认为东南亚尤其是泰国的持续高温可能有助于橡胶减产。橡胶去库或超预期。市场对收储轮储也或有预期。对比铜金属等商品，橡胶价格偏低。天然橡胶空头认为因为需求弱所以升水预期跌。空头认为轮胎需求一般，制品需求比较弱。供应大库存高。一季度价格偏高会刺激全年大量新增供应，减产或落空，增产可预期。3L对泰标泰混价格低位，说明需求弱。另外，泰国乳胶和烟片胶价高能否顺利传导存疑。RU升水20号胶幅度也不合理。2018-2023年间，橡胶RU加权在重要14800一线遇阻。暗示此价格对生产商卖出套保的吸引力。行业如何？需求表现一般。需求方面，截至2024年4月12日，山东地区轮胎企业全钢胎开工负荷为66%，较上周走低3.31个百分点，较去年同期走低2.37个百分点。国内轮胎企业半钢胎开工负荷为77.74%，较上周走低2.59个百分点，较去年同期走高4.17个百分点。由于前期补货，重卡轮胎经销商库存高位，消化缓慢。库存方面，截至2024年4月12日，天然橡胶青岛保税区区内库存为12.33万吨，较上期减少了0.10万吨，降幅0.79%。天然橡胶一般贸易库库存为42.22万吨，较上期减少0.72万吨，降幅1.67%。青岛社库54.55（-0.82）万吨。橡胶价格3月大涨的背景下，轮胎减少了原材料库存。轮胎样本企业天胶原料总备货量环比下滑6.38%，同比下滑4.16%。截至2024年4月12日，上期所天然橡胶库存217721（-360）吨，仓单214230（-770）吨。20号胶库存140737（10684）吨，仓单130858（13709）吨。现货上个交易日下午16:00-18:00现货市场复合胶报价133400（-100）元。标胶现货1620（-10）美元。操作建议：因天气收储预期看多，因需求弱而空配，均有一定的胜率。建议空头总体控制仓位风险。配置空头移仓RU2501，并设置止损。买现货或NR主力抛RU2409/RU2501中线推荐。建议适当按照技术面短线交易，或波段操作。
